year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1911,220,325,365,-1,1,1,FALSE,0.3121802922479145,0.29170209750566894,5.666666666666667,16,1.6666666666666667,0.6666666666666667,220-325-365,-2.721146502261373,TRUE,1916,TRUE,flipped,FALSE,pre-1945,0.05779775484470363,0.03854347943781997,0.04425136104124785,0.04686419844125715
1911,300,325,360,-1,1,1,FALSE,0.5452705962707581,0.29995892914989125,4.333333333333333,5.444444444444444,2,1,300-325-360,-3.9407231143021,TRUE,1916,TRUE,flipped,FALSE,pre-1945,0.07604887826537703,0.07246991550679918,0.02940049475658635,0.05930642950958752
1912,300,325,365,1,-1,1,FALSE,0.30984993071302597,0.18009637188208616,6,10.166666666666666,2,1,300-325-365,-2.8188700925863257,NA,1917,TRUE,flipped,FALSE,pre-1945,0.0805098163066692,0.04111123646451818,0.03855568627769202,0.05339224634962647
1913,355,365,640,-1,-1,-1,FALSE,0.3991319444444444,0.22236111111111104,5,18.77777777777778,1.6666666666666667,0.6666666666666667,355-365-640,-3.44868085550807,NA,1918,NA,dissolved,FALSE,pre-1945,0.01867679106608044,0.01376113769390832,0.04217199308729518,0.024869973949094647
1913,345,355,640,-1,-1,-1,FALSE,0.4908564814814815,0.41527777777777775,4.333333333333333,5.611111111111112,2.3333333333333335,1.3333333333333335,345-355-640,-4.842105388710253,TRUE,1918,TRUE,flipped,FALSE,pre-1945,NA,NA,0.01376113769390832,0.01376113769390832
1913,350,355,640,-1,-1,-1,FALSE,0.5640856481481481,0.41527777777777775,4,6.972222222222221,2.3333333333333335,1.3333333333333335,350-355-640,-4.36909128780322,TRUE,1918,TRUE,flipped,FALSE,pre-1945,0.01415108319754792,0.00738368332975952,0.01376113769390832,0.01176530140707192
1914,200,210,255,-1,-1,-1,FALSE,0.2762888086373095,0.18584999300131572,9,15.836111111111114,3,2,200-210-255,-2.991528309034769,NA,1919,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1914,255,300,360,1,-1,1,FALSE,0.2624118221774306,0.18584999300131572,10.333333333333334,5.411111111111111,6,5,255-300-360,-3.231963585666182,TRUE,1919,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1914,210,255,365,-1,-1,-1,FALSE,0.2914885510857292,0.18584999300131572,9,8.277777777777777,3.3333333333333335,2.3333333333333335,210-255-365,-3.064471412087359,NA,1919,NA,dissolved,FALSE,pre-1945,NA,NA,NA,NA
1914,300,325,360,-1,1,1,FALSE,0.29795508434890433,0.253050390526581,7.666666666666667,4.952777777777777,4,3,300-325-360,-3.8380802013877315,TRUE,1919,NA,dissolved,FALSE,pre-1945,NA,NA,0,0
1914,300,355,360,1,1,-1,FALSE,0.32531779158851465,0.253050390526581,7.333333333333333,4.542063492063492,3.3333333333333335,2.3333333333333335,300-355-360,-4.630929529309018,NA,1919,NA,dissolved,FALSE,pre-1945,NA,NA,0,0
1914,300,360,365,-1,1,1,FALSE,0.29039361066786107,0.253050390526581,8.333333333333334,4.213888888888889,4.333333333333333,3.333333333333333,300-360-365,-3.350663152522174,NA,1919,NA,dissolved,FALSE,pre-1945,NA,NA,0,0
1915,200,255,380,-1,-1,-1,FALSE,0.3292471567131053,0.1384081104728342,10.666666666666666,11.511111111111111,4,3,200-255-380,-3.0446215623610953,NA,1920,NA,dissolved,FALSE,pre-1945,NA,0,NA,0
